confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Exact counterpart (),,,48077,{},,halántíko,48078,101919,42103
,Exact counterpart (),,,48078,{},,kopoňa,48079,102314,42348
,Super-counterpart (),,,48079,{},,gódi,48080,102709,42071
,Super-counterpart (),,,48080,{},,muj,48081,103104,42505
,Exact counterpart (),,,48081,{},,čekat,48082,103499,41797
,Exact counterpart (),,,48082,{},,állarckapča,48083,103894,41627
,Exact counterpart (),,,48083,{},,čham,48084,104289,41814
,Exact counterpart (),,,48084,{},,álla,48085,104684,41626
,Exact counterpart (),,,48085,{},,jakh,48086,105079,42189
,Exact counterpart (),,,48086,{},,cimbla,48087,105474,41845
,Super-counterpart (),,,48087,{},,semeldeko,48088,105474,42856
,Super-counterpart (),,,48088,{},,semeldeko,48089,105869,42856
,Exact counterpart (),,,48089,{},,sempilla,48090,106264,42860
,Exact counterpart (),,,48090,{},,pillogatinen,48091,106659,42714
,Para-counterpart (),,,48091,{},,kačingatinen,48092,106659,42205
,Exact counterpart (),,,48092,{},,kan,48093,107054,42220
,Exact counterpart (),,,48093,{},,kanengere khula,48094,107844,42224
,Super-counterpart (),,,48094,{},,nakh,48095,108239,42529
,Exact counterpart (),,,48095,{},,turňa,48096,108634,43055
,Exact counterpart (),,,48096,{},,lim,48097,109029,42411
,Super-counterpart (),,,48097,{},,muj,48098,109424,42505
,Super-counterpart (),,,48098,{},,nakh,48099,109819,42529
,Exact counterpart (),,,48099,{},,vošt,48100,110214,43148
,Super-counterpart (),,,48100,{},,čhib,48101,110609,41817
,Exact counterpart (),,,48101,{},,dand,48102,111004,41891
,Exact counterpart (),,,48102,{},,íňa,48103,111399,42167
,Exact counterpart (),,,48103,{},,men,48104,112189,42462
,Super-counterpart (),,,48104,{},,"ňakačiga, ňakčiga",48105,112584,42528
,Exact counterpart (),,,48105,{},,kello,48106,112979,42254
,Sub-counterpart (),,,48106,{},,gerkáňi,48107,112979,42066
